180,15,71,54,30,58,73,204,169,160,65,58,57,29,284,62,249,51,108,156,185,127,118,90
216,18,85,64,36,63,86,241,200,189,76,68,67,34,334,67,293,59,117,168,217,149,138,105
224,19,87,66,37,69,88,247,204,193,78,69,69,35,341,73,300,61,126,182,220,152,140,107
219,18,84,64,36,71,85,238,198,187,75,67,66,34,329,75,289,58,129,185,212,146,134,102
180,15,69,52,29,67,70,194,161,152,61,55,54,28,267,70,236,47,121,173,171,118,108,82
142,12,54,41,23,61,54,151,125,118,48,42,42,21,208,63,183,37,108,155,133,91,83,63
143,12,54,41,23,65,54,150,125,118,48,42,42,21,206,67,182,36,115,164,131,90,82,62
145,12,54,41,23,60,55,151,125,118,48,42,42,21,207,61,183,36,105,148,131,90,82,62
129,10,48,36,20,62,48,133,110,104,42,37,37,19,181,63,161,32,107,152,115,79,71,54
109,9,40,30,17,57,40,111,92,87,35,31,31,16,151,58,134,0,98,139,95,66,59,45
96,7,35,26,15,52,35,96,80,75,30,27,27,14,131,52,116,0,89,125,82,57,51,39
97,8,35,26,15,54,35,96,80,75,30,27,27,14,131,54,116,0,92,129,82,56,51,38
78,6,28,21,12,51,28,76,63,60,24,21,21,11,104,51,92,0,86,120,65,45,40,30
80,6,28,21,12,53,28,78,65,61,25,22,21,11,105,52,94,0,88,124,66,45,41,31
63,5,22,17,9,48,22,61,51,48,19,17,17,9,82,47,73,0,79,111,51,35,32,24
81,6,28,21,12,44,28,77,64,61,24,0,21,11,104,43,93,0,72,101,65,45,40,30
82,6,28,21,12,39,28,77,64,61,24,0,21,11,104,38,93,0,63,88,64,44,40,30
81,6,28,21,12,41,28,75,63,59,24,0,21,11,102,40,91,0,67,93,63,43,38,29
85,6,29,22,12,39,29,79,66,62,25,0,22,11,106,38,95,0,63,87,65,45,40,30
77,6,26,20,11,36,26,70,59,55,22,0,19,10,95,35,85,0,58,80,58,40,36,27
81,6,28,21,12,37,27,74,61,58,23,0,20,10,99,35,89,0,58,81,61,42,37,28
91,7,31,23,13,35,31,82,69,65,0,0,23,12,0,34,99,0,56,77,0,47,41,31
95,7,32,24,13,39,32,85,71,67,0,0,23,12,0,37,102,0,61,83,0,48,42,32
94,7,31,24,13,36,31,83,69,65,0,0,23,12,0,34,100,0,56,78,0,47,41,31
